name,h,f,l,p,r,s
c16472,6,4,6,2,5,3
c16449,1,7,9,1,5,6
c16189,9,3,5,2,3,4
c15718,10,6,1,1,2,2
c15567,9,2,6,1,3,10
c15201,5,5,5,5,1,4
c15049,10,1,8,3,1,6
c15044,9,1,9,2,2,6
c13839,10,3,4,3,3,4
c12604,9,6,1,2,2,2
c12370,9,1,9,3,1,6
c11977,6,9,1,1,2,1
c11908,3,4,10,5,2,7
c11288,2,10,10,2,2,2
c11237,9,6,1,2,3,1
c11200,9,3,5,4,1,4
c11037,7,1,10,8,5,10
c10575,10,5,1,2,3,3
c10500,3,5,8,1,5,6
c10043,4,10,2,3,1,1
c9913,10,5,2,2,3,1
c9877,3,10,3,3,1,2
c9800,8,1,10,3,4,5
c9713,10,1,8,1,1,8
c9290,4,8,9,1,2,1
c9012,3,9,3,1,3,3
c8394,8,3,6,2,3,4
c8312,2,8,10,2,2,4
c8089,4,8,1,1,3,4
c7981,3,8,1,1,5,3
c7826,4,8,1,3,2,3
c7587,10,3,4,3,1,6
c7561,5,6,2,5,1,4
c6865,8,1,10,4,2,6
c6845,10,3,4,1,4,5
c6841,2,8,10,4,2,2
c6785,8,1,10,6,1,5
c6552,3,9,9,1,2,2
c6529,8,5,2,3,1,4
c6094,5,5,4,5,1,5
c5719,10,1,8,3,2,5
c5512,9,1,9,4,1,5
c5393,2,8,10,1,2,5
c5250,2,10,10,1,2,3
c4839,9,1,8,8,1,10
c4563,10,5,2,2,1,3
c4031,10,1,8,3,4,3
c4004,10,1,8,5,3,2
c3979,6,5,4,4,2,3
c3934,5,6,2,4,1,5
c3753,3,8,9,2,2,2
c3469,2,3,10,7,10,7
c3427,3,8,1,4,1,4
c3298,3,9,3,1,2,4
c3296,2,8,10,2,4,2
c3290,10,3,4,2,3,5
c3270,4,8,1,3,3,2
c2974,2,8,2,5,1,4
c2896,6,4,6,5,1,4
c2867,9,1,9,5,2,3
c2699,4,10,2,2,1,2
c2591,2,9,9,2,3,2
c2587,9,5,2,3,2,2
c2560,10,5,1,3,1,4
c2321,8,5,3,1,3,3
c2314,7,1,10,10,7,6
c2107,3,8,1,5,1,3
c2054,9,5,2,2,3,2
c2039,9,1,9,1,4,5
c1964,9,5,3,1,2,2
c1962,4,8,1,3,1,4
c1944,10,2,6,3,3,4
c1931,6,5,4,4,1,4
c1928,9,4,4,3,3,1
c1879,5,5,6,1,5,3
c1875,6,5,3,1,5,4
c1827,2,8,10,5,1,2
c1766,2,9,9,1,3,3
c1757,8,3,6,3,1,5
c1756,3,8,1,5,2,2
c1750,3,5,10,1,5,5
c1736,9,2,6,2,2,10
c1704,5,5,3,2,5,5
c1638,10,5,1,1,3,4
c1606,2,9,5,1,3,4
c1598,4,2,10,10,6,10
c1589,10,1,7,10,1,9
c1584,10,6,1,2,1,2
c1434,9,1,8,4,5,10
c1407,8,6,1,2,2,3
c1382,2,10,10,3,2,1
c1378,5,9,2,3,1,1
c1374,10,5,1,2,2,4
c1317,9,3,5,1,3,5
c1277,8,1,10,5,3,4
c1251,3,8,1,1,3,5
c1212,4,10,2,1,2,2
c1210,2,4,10,3,10,5
c1191,5,5,5,4,4,2
c1170,9,4,4,3,1,3
c1169,3,9,3,1,4,2
c1160,3,10,3,2,3,1
c1155,10,2,6,1,1,8
c1144,2,8,10,3,4,1
c1115,10,1,7,5,5,10
c1036,9,1,9,5,1,4
c995,10,5,2,2,2,2
c950,5,5,6,1,4,4
c909,5,7,1,1,3,4
c875,9,4,4,3,2,2
c858,5,6,2,4,2,4
c854,1,6,10,5,1,8
c786,2,10,5,2,3,2
c786,10,3,5,1,2,3
c744,1,5,10,2,5,10
c741,1,6,10,4,1,9
c710,5,8,4,2,1,2
c698,2,4,10,4,10,4
c685,7,6,1,4,1,3
c670,10,3,5,2,1,3
c658,4,9,2,2,1,3
c655,3,5,10,1,4,6
c654,3,10,3,1,3,2
c641,8,5,3,2,1,4
c637,3,5,10,2,5,4
c598,8,1,10,5,1,6
c573,5,5,6,1,3,5
c571,4,9,2,1,2,3
c569,7,9,1,1,1,1
c559,3,9,3,3,3,1
c555,10,1,7,9,2,9
c516,8,1,10,4,1,7
c494,10,1,7,7,3,10
c487,1,6,10,4,2,8
c486,4,9,2,2,3,1
c478,6,8,3,2,1,1
c459,5,4,8,1,5,4
c459,5,4,8,2,3,5
c440,8,1,10,6,4,2
c421,1,8,10,1,3,6
c418,3,8,9,3,1,2
c416,1,6,10,1,6,7
c410,7,1,10,10,6,7
c388,5,2,10,4,10,6
c381,5,2,10,1,10,9
c366,8,1,10,7,3,2
c359,6,6,1,1,4,4
c346,1,8,10,3,1,6
c321,1,6,10,3,2,9
c306,5,2,10,3,10,7
c303,5,2,10,2,10,8
c301,10,4,4,1,2,2
c299,8,6,1,3,1,3
c289,8,1,10,1,4,7
c221,9,1,8,9,2,8
c219,3,8,9,2,3,1
c209,4,9,2,3,1,2
c204,8,1,10,3,5,4
c197,9,1,9,5,3,2
c190,9,1,9,1,5,4
c181,8,1,10,3,6,3
c180,8,1,10,1,5,6
c166,5,8,2,2,2,2
c164,5,2,10,6,10,4
c164,8,1,10,1,6,5
c161,9,1,9,3,2,5
c161,10,1,8,1,2,7
c158,10,1,8,2,1,7
c144,5,8,2,1,3,2
c139,9,1,8,7,2,10
c137,6,5,5,1,3,4
c131,7,1,10,6,7,10
c122,5,2,10,5,10,5
c122,7,8,1,1,2,1
c120,1,6,10,1,4,9
c119,9,1,8,7,3,9
c116,9,1,8,6,3,10
c115,10,1,8,5,2,3
c107,9,1,8,10,1,8
c104,9,1,9,2,5,3
c100,7,1,10,7,6,10
c96,9,1,8,8,2,9
c95,9,1,9,3,4,3
c94,3,9,9,1,1,3
c93,2,10,5,3,3,1
c85,9,1,9,4,4,2
c85,10,2,5,4,1,10
c79,10,2,6,5,1,4
c77,8,1,10,6,3,3
c77,9,1,8,9,1,9
c74,1,6,10,2,5,7
c74,7,1,10,10,8,5
c74,9,1,9,6,1,3
c67,7,1,10,3,10,10
c63,7,1,10,10,5,8
c63,10,1,7,2,8,10
c62,9,1,9,6,2,2
c60,9,1,8,2,7,10
c60,10,2,6,1,4,5
c59,9,1,9,2,4,4
c50,10,1,7,1,10,9
c49,1,6,10,5,2,7
c48,9,1,9,2,1,7
c47,8,1,10,5,4,3
c46,10,2,5,1,4,10
c45,7,1,10,4,9,10
c44,8,1,10,1,3,8
c42,8,1,10,7,2,3
c37,10,1,7,3,7,10
c36,9,1,8,5,4,10
c36,9,1,9,1,2,7
c34,7,1,10,5,8,10
c33,8,1,10,6,2,4
c31,9,1,8,1,8,10
c31,9,1,8,1,9,9
c31,9,1,8,3,6,10
c28,9,1,9,4,3,3
c22,9,1,9,2,3,5
c15,3,9,3,2,2,3
c15,10,1,7,4,6,10
c12,8,1,10,2,3,7
c9,10,2,6,4,3,3
