name,h,f,l,p,r,s
c16882,9,1,9,3,2,5
c16849,4,8,1,4,1,3
c16776,10,3,4,2,5,3
c16745,9,1,9,2,3,5
c16728,4,8,1,2,2,4
c16720,10,2,6,1,4,5
c16589,10,3,4,5,4,1
c16459,1,9,1,1,6,3
c16426,10,4,2,5,1,4
c16218,8,1,10,6,2,4
c16187,8,4,4,2,4,3
c16143,6,3,6,8,1,6
c15934,1,9,1,5,4,1
c15885,6,2,10,3,7,4
c15835,10,1,8,5,4,1
c15821,10,4,2,6,1,3
c15821,10,5,2,2,3,1
c15649,3,8,1,5,2,2
c15586,4,8,1,1,3,4
c15576,4,8,1,5,1,2
c15555,2,10,5,4,2,1
c15533,10,2,6,5,4,1
c15432,9,2,6,7,6,1
c15307,9,5,1,1,5,3
c15147,2,7,1,1,7,4
c15049,6,2,10,5,2,7
c15017,2,7,1,1,5,6
c15000,8,1,10,5,6,1
c14654,5,2,10,10,2,8
c14638,5,2,10,10,9,1
c14616,5,2,10,2,10,8
c14588,2,7,1,2,5,5
c14554,10,1,8,3,3,4
c14354,10,1,8,4,2,4
c14265,8,1,10,7,2,3
c14167,5,2,10,10,1,9
c14137,5,2,10,1,10,9
c14110,2,9,5,5,2,1
c14020,10,1,8,1,6,3
c13826,2,7,1,5,5,2
c13723,8,1,10,2,8,2
c13310,6,2,9,1,8,8
c13264,1,6,4,2,5,8
c13243,10,4,2,1,5,4
c13202,10,4,2,2,5,3
c13099,10,5,2,2,2,2
c12983,2,7,1,5,6,1
c12898,9,1,9,4,3,3
c12880,10,5,1,5,1,2
c12878,2,10,5,2,2,3
c12790,6,2,10,7,1,6
c12352,3,8,1,2,3,4
c12242,9,5,2,4,2,1
c12205,2,7,1,4,4,4
c12155,8,3,4,7,1,6
c12003,1,6,4,6,2,7
c11959,10,1,8,4,4,2
c11917,9,3,4,7,1,4
c11794,1,9,1,6,3,1
c11536,10,6,1,3,1,1
c11520,10,4,2,1,4,5
c11271,6,2,10,8,4,2
c10934,8,1,10,9,1,2
c10903,10,2,6,2,6,2
c10804,3,9,3,4,2,1
c10646,3,6,1,7,1,5
c10575,2,8,10,4,3,1
c10551,10,1,8,3,4,3
c10308,2,6,10,3,6,2
c10156,7,3,5,7,1,6
c10104,10,2,7,3,1,1
c10071,8,3,4,1,7,6
c10045,2,7,1,5,4,3
c9941,8,3,4,7,6,1
c9926,10,2,6,4,2,4
c9827,10,2,6,1,5,4
c9757,3,8,1,2,2,5
c9679,6,2,10,8,1,5
c9482,9,2,6,1,7,6
c9371,8,3,5,1,6,5
c9187,6,2,10,4,4,6
c9158,10,4,2,6,3,1
c9029,9,2,6,2,7,5
c8824,10,6,1,2,2,1
c8752,10,1,8,5,2,3
c8704,1,6,4,9,5,1
c8670,6,2,10,9,3,2
c8638,1,6,4,3,5,7
c8581,10,2,7,2,1,2
c8552,10,4,2,5,4,1
c8524,9,6,1,1,3,2
c8519,8,1,10,1,5,6
c8506,1,6,4,2,7,6
c8442,1,9,1,4,5,1
c8435,9,2,6,1,6,7
c8393,8,1,10,8,3,1
c8237,9,1,9,5,2,3
c8170,8,3,4,8,1,5
c7935,9,2,6,8,1,5
c7876,4,8,1,4,3,1
c7591,8,1,10,8,2,2
c7553,6,2,10,2,5,7
c7509,6,2,10,8,2,4
c7488,1,9,1,1,4,5
c7476,8,4,3,4,2,5
c7430,6,2,10,1,7,6
c7411,1,6,4,2,6,7
c7281,10,1,8,1,5,4
c7202,8,4,4,3,2,4
c7201,8,1,10,1,7,4
c7186,9,1,9,3,3,4
c7036,10,4,2,4,5,1
c6994,10,2,6,2,4,4
c6899,3,10,3,2,3,1
c6833,6,2,10,1,6,7
c6753,6,2,10,2,8,4
c6700,1,9,1,2,6,2
c6608,9,2,6,2,6,6
c6473,2,9,5,5,1,2
c6254,10,1,8,3,2,5
c6214,3,7,10,3,3,1
c6212,9,1,9,1,6,3
c6200,10,4,2,4,2,4
c6155,2,9,5,2,2,4
c6067,10,5,1,2,4,2
c6056,10,5,2,1,2,3
c5977,3,6,1,7,5,1
c5928,10,1,8,6,2,2
c5889,5,9,2,1,2,2
c5888,9,5,1,5,3,1
c5624,5,9,2,2,1,2
c5575,10,5,2,1,3,2
c5398,9,1,9,4,4,2
c5348,2,8,2,7,1,2
c5273,8,4,3,5,2,4
c5254,10,4,2,2,4,4
c5204,2,7,1,5,3,4
c5137,9,2,6,6,7,1
c5128,9,1,9,1,4,5
c5090,7,3,4,9,1,7
c5089,9,3,4,2,5,5
c4976,7,3,4,1,8,8
c4899,6,2,10,9,4,1
c4851,8,1,10,2,6,4
c4631,2,10,5,1,4,2
c4604,2,6,10,4,4,3
c4604,6,2,10,3,5,6
c4571,8,1,10,7,3,2
c4355,6,2,10,7,2,5
c4270,9,2,6,7,1,6
c4160,1,9,1,3,2,5
c4131,10,5,2,3,2,1
c4031,10,1,8,5,3,2
c4029,10,2,6,4,5,1
c3846,2,9,5,2,4,2
c3796,8,3,5,6,2,4
c3624,2,7,1,5,1,6
c3538,3,9,3,1,3,3
c3442,3,6,1,4,7,2
c3422,6,2,10,3,8,3
c3419,3,7,10,4,1,2
c3418,6,2,10,6,3,5
c3369,10,1,8,4,3,3
c3298,8,1,10,5,5,2
c3220,8,1,10,3,6,3
c3198,2,8,2,2,3,5
c3159,2,7,1,8,1,3
c3152,2,7,1,2,6,4
c3027,4,8,1,5,2,1
c2948,8,1,10,3,7,2
c2914,2,7,1,6,2,4
c2856,9,3,4,2,4,6
c2832,5,9,2,3,1,1
c2785,3,6,1,6,6,1
c2638,2,10,5,2,3,2
c2622,10,3,4,3,2,5
c2611,2,7,1,3,5,4
c2587,2,7,1,8,3,1
c2583,8,3,4,2,6,6
c2558,8,1,10,2,7,3
c2551,3,10,3,2,2,2
c2530,10,2,6,2,3,5
c2503,8,4,4,4,2,3
c2458,9,1,9,5,4,1
c2421,8,1,10,5,4,3
c2381,3,6,1,2,5,6
c2340,3,6,1,3,5,5
c2319,2,7,10,1,5,3
c2319,10,3,4,2,4,4
c2316,2,8,2,2,6,2
c2294,8,1,10,2,4,6
c2253,7,3,6,6,5,1
c2233,7,3,4,2,8,7
c2168,8,1,10,4,4,4
c2036,9,6,1,1,2,3
c1998,8,4,4,1,4,4
c1957,4,6,1,2,6,4
c1923,9,3,4,1,5,6
c1890,2,9,5,1,3,4
c1877,8,4,4,1,5,3
c1842,2,7,1,5,2,5
c1835,3,7,3,1,5,4
c1813,10,2,6,4,4,2
c1808,6,4,4,7,1,5
c1741,7,3,6,1,6,5
c1722,8,4,3,2,4,5
c1707,8,5,1,5,4,1
c1689,7,3,4,8,8,1
c1676,7,3,6,6,1,5
c1653,2,5,10,1,7,6
c1653,6,2,10,4,7,3
c1622,7,3,4,1,9,7
c1591,9,2,7,4,1,4
c1515,9,4,3,1,4,4
c1489,2,8,10,5,2,1
c1457,7,4,4,1,6,4
c1447,6,3,8,6,1,4
c1438,3,7,3,5,1,4
c1411,2,7,1,4,3,5
c1378,1,6,4,3,7,5
c1359,7,4,4,5,4,2
c1297,8,5,1,1,5,4
c1292,7,4,4,6,1,4
c1278,10,6,2,1,1,1
c1267,9,5,1,2,3,4
c1247,10,5,2,3,1,2
c1235,2,8,10,1,4,3
c1216,2,6,10,6,1,4
c1171,9,2,7,5,3,1
c1169,4,8,1,3,3,2
c1166,10,3,4,6,1,3
c1144,10,3,5,1,3,2
c1128,1,9,1,3,5,2
c1097,3,9,3,4,1,2
c1090,2,8,10,3,2,3
c1087,4,6,1,2,5,5
c1082,1,9,1,6,1,3
c1080,9,6,3,1,1,1
c1067,5,5,5,1,5,4
c1061,9,3,5,1,4,4
c1055,10,2,6,3,2,5
c1054,2,10,5,3,1,3
c1045,6,2,10,2,7,5
c1043,10,3,4,5,1,4
c1029,6,2,10,5,3,6
c1025,9,7,1,2,1,1
c1013,8,4,4,5,2,2
c998,10,4,3,5,1,1
c997,4,3,10,1,7,8
c968,8,1,10,9,2,1
c951,10,4,3,1,3,3
c948,9,1,9,3,6,1
c941,7,3,7,1,5,4
c923,2,8,10,4,1,3
c892,5,5,5,5,4,1
c881,8,1,10,7,4,1
c870,10,4,3,2,3,2
c867,8,4,4,4,3,2
c841,9,3,5,4,4,1
c827,6,2,10,3,4,7
c815,4,8,1,4,2,2
c810,8,1,10,3,5,4
c800,10,3,4,1,4,5
c775,2,8,10,5,1,2
c767,6,2,10,2,6,6
c760,1,6,4,5,8,2
c759,8,1,10,2,3,7
c739,3,7,3,2,5,3
c735,1,9,1,4,4,2
c702,10,2,7,1,2,2
c701,4,6,1,6,5,1
c686,2,8,10,2,3,3
c683,9,5,2,1,4,2
c682,8,8,1,1,1,1
c678,9,4,4,4,1,2
c672,8,1,10,6,4,2
c671,7,4,4,3,4,4
c670,9,2,7,1,4,4
c668,10,2,7,2,2,1
c665,7,4,4,6,4,1
c665,8,4,3,5,1,5
c664,6,3,6,2,7,6
c653,10,4,3,1,4,2
c650,10,3,4,4,2,4
c640,4,6,1,6,1,5
c634,1,6,4,5,3,7
c609,2,8,2,1,5,4
c595,5,3,9,2,6,5
c592,9,6,1,3,1,2
c575,10,4,3,2,2,3
c573,2,6,10,4,5,2
c569,8,3,5,7,1,4
c562,9,1,9,4,1,5
c543,5,3,10,6,4,1
c540,9,5,1,2,4,3
c539,10,3,5,4,1,1
c538,6,2,10,1,8,5
c537,3,4,10,7,6,1
c528,9,3,5,2,3,4
c527,2,9,9,4,1,2
c495,9,1,9,4,5,1
c492,9,1,9,1,5,4
c475,5,3,9,1,6,6
c475,8,4,4,4,1,4
c460,4,6,1,5,2,5
c456,2,5,10,2,6,6
c434,4,7,2,5,1,3
c430,6,5,3,5,4,1
c425,4,3,10,3,6,7
c411,3,10,3,2,1,3
c400,4,8,1,2,4,2
c378,7,8,1,2,1,1
c371,9,4,4,1,3,3
c370,10,2,6,3,5,2
c364,8,1,10,1,8,3
c361,7,3,4,10,1,6
c354,8,4,3,4,3,4
c341,2,6,10,6,3,2
c337,3,6,1,7,2,4
c333,2,7,1,7,3,2
c319,3,8,1,2,4,3
c319,10,3,4,6,3,1
c303,8,1,10,1,4,7
c298,4,3,10,9,2,5
c294,7,3,7,5,1,4
c291,10,3,4,4,5,1
c289,3,7,3,3,2,5
c274,10,4,3,4,1,2
c244,7,8,2,1,1,1
c235,5,3,9,7,1,5
c234,6,2,10,6,2,6
c227,4,3,10,6,8,2
c227,8,1,10,10,1,1
c205,6,3,8,5,4,2
c204,5,2,10,8,10,2
c202,7,4,4,5,2,4
c189,6,2,10,8,5,1
c184,10,2,6,3,4,3
c174,2,9,9,4,2,1
c163,6,3,8,5,5,1
c122,8,1,10,4,6,2
c121,9,4,4,4,2,1
c120,7,3,4,9,7,1
c119,5,2,10,10,8,2
c105,9,2,7,4,4,1
c91,4,3,10,9,6,1
c83,8,1,10,4,3,5
c81,10,3,4,3,5,2
c78,8,1,10,5,2,5
c74,8,1,10,5,3,4
c73,2,9,9,3,3,1
c72,9,3,5,5,1,3
c71,10,4,3,3,2,2
c68,7,3,4,3,7,7
c64,10,3,4,5,2,3
c62,8,1,10,8,1,3
c60,5,2,10,9,10,1
c57,7,4,4,5,5,1
c51,10,3,4,3,4,3
c49,4,3,10,2,6,8
c48,9,3,5,4,2,3
c42,8,1,10,3,4,5
c34,10,3,4,4,4,2
c32,9,2,7,4,3,2
c32,10,2,6,5,2,3
c16,8,1,10,4,5,3
c7,3,4,10,1,7,6
c5,2,8,10,2,4,2
c3,10,3,4,5,3,2
