name,h,f,l,p,r,s
c97255,4,3,10,4,3,9
c95597,3,3,10,1,10,9
c93850,6,7,1,4,2,1
c91349,9,4,3,4,3,2
c89887,9,6,1,2,2,2
c88927,10,1,8,3,1,6
c87911,8,5,1,1,4,5
c87791,3,9,9,1,2,2
c87487,3,5,10,1,5,5
c85874,8,1,10,3,5,4
c85682,2,10,10,3,1,2
c82509,9,1,9,2,4,4
c82468,3,9,9,2,2,1
c81102,9,4,4,2,3,2
c78023,10,2,6,2,2,6
c77254,10,5,1,2,3,3
c70162,7,1,10,7,10,6
c69839,6,5,5,1,4,3
c67774,5,7,1,4,2,2
c66073,3,8,1,1,3,5
c65863,5,4,4,5,2,8
c65718,3,4,9,2,4,9
c64844,2,4,10,7,1,10
c64626,6,5,4,5,2,2
c57989,5,5,3,1,5,6
c57862,8,7,2,1,1,2
c55925,9,1,9,1,3,6
c45408,9,1,9,2,5,3
c45142,5,3,9,1,5,7
c39432,3,9,9,1,1,3
c38388,9,4,4,3,2,2
c38321,8,4,4,2,2,5
c36339,5,3,8,1,6,8
c34783,3,7,3,4,5,1
c34226,8,1,10,4,3,5
c32451,5,5,5,1,5,4
c31590,9,3,5,3,3,3
c31063,10,5,2,1,2,3
c31053,9,4,4,1,3,3
c29928,9,5,2,3,2,2
c28556,7,1,10,10,8,5
c27250,2,9,9,3,3,1
c26249,5,4,4,1,6,8
c25445,9,6,1,1,3,2
c25160,5,4,4,5,1,9
c24586,8,1,10,2,7,3
c22452,3,5,10,5,1,5
c22053,2,8,10,2,4,2
c21818,4,3,10,2,5,9
c20678,3,8,1,6,1,2
c19376,3,4,9,1,5,9
c19336,2,10,10,1,2,3
c18549,2,5,10,3,3,8
c16957,2,5,10,4,2,8
c16795,10,4,3,2,2,3
c14688,9,7,1,1,2,1
c12482,4,8,1,4,2,2
c12239,8,1,10,2,2,8
c11818,2,7,10,1,2,6
c11614,2,8,10,1,5,2
c11588,5,4,4,1,5,9
c11570,9,1,9,3,4,3
c10681,8,1,10,3,1,8
c10135,5,3,8,5,1,9
c9795,3,4,9,6,1,8
c9567,4,3,10,4,2,10
c8905,2,5,10,6,1,7
c8625,4,8,1,1,3,4
c7944,7,4,4,5,3,3
c7358,4,8,1,2,3,3
c6442,10,4,2,2,1,7
c6326,3,9,3,1,4,2
c6252,5,4,6,1,4,7
c6130,3,10,3,1,3,2
c6118,8,1,10,4,4,4
c6086,2,4,10,2,6,10
c6049,8,1,10,1,5,6
c3960,9,1,9,2,2,6
c3958,2,8,10,4,1,3
c3711,6,7,1,3,3,1
c3527,4,3,10,4,4,8
c3384,4,3,10,7,1,8
c3285,7,7,1,1,3,2
c3273,2,8,10,1,2,5
c3236,5,7,1,1,3,4
c3106,3,7,10,4,2,1
c3014,2,7,8,1,3,6
c2962,9,1,9,4,2,4
c2834,4,7,4,2,2,4
c2828,5,5,5,4,2,4
c2737,6,4,4,5,1,7
c2734,4,8,1,4,3,1
c2640,1,5,10,5,2,10
c2605,4,9,2,2,3,1
c2576,7,4,5,4,2,3
c2532,7,4,4,4,2,5
c2406,8,4,4,3,1,5
c2313,5,4,5,5,1,7
c2246,10,2,6,4,2,4
c2187,3,9,3,2,4,1
c2182,1,5,10,4,3,10
c2182,2,8,10,3,3,2
c2156,4,3,10,2,4,10
c2142,5,3,9,1,6,6
c2024,8,4,4,3,2,4
c2017,2,5,10,1,6,7
c1974,2,9,5,2,1,5
c1948,8,1,10,5,3,4
c1933,9,5,2,2,2,3
c1863,7,1,10,4,9,10
c1837,4,3,10,3,3,10
c1788,2,9,9,2,4,1
c1762,6,5,4,1,4,4
c1695,7,5,2,2,5,3
c1689,10,4,3,3,2,2
c1683,8,7,2,1,2,1
c1676,4,4,8,1,5,7
c1668,5,9,2,1,3,1
c1592,10,6,1,2,1,2
c1569,4,4,9,3,2,7
c1541,10,5,1,1,3,4
c1530,4,7,2,1,4,4
c1397,9,3,5,1,4,4
c1372,5,4,6,3,2,7
c1368,5,3,9,5,1,7
c1355,10,3,5,1,1,4
c1322,5,5,4,3,2,6
c1226,5,3,8,6,1,8
c1197,3,8,1,3,5,1
c1192,8,1,10,1,4,7
c1168,3,8,1,6,2,1
c1166,9,1,9,6,1,3
c1119,10,2,5,5,1,9
c1100,10,2,5,2,3,10
c1097,5,10,2,1,2,1
c1089,5,6,3,4,1,4
c1089,10,1,8,1,5,4
c1077,10,6,1,1,2,2
c1075,8,1,10,5,1,6
c1060,8,1,10,3,2,7
c1011,9,4,3,1,4,4
c1009,2,10,5,3,3,1
c982,5,2,10,9,1,10
c978,3,8,1,2,4,3
c977,3,7,10,2,2,3
c976,4,10,2,2,2,1
c965,5,8,2,2,2,2
c964,3,4,10,3,4,7
c960,2,3,10,4,10,10
c953,2,8,10,3,1,4
c951,4,7,2,2,5,2
c948,9,3,5,1,3,5
c944,8,1,10,6,4,2
c943,10,5,1,3,1,4
c939,10,1,8,5,2,3
c918,5,6,3,1,4,4
c917,4,4,9,4,1,7
c910,10,1,8,5,4,1
c906,10,2,5,3,3,9
c879,2,9,5,4,1,3
c822,6,8,2,2,2,1
c811,2,8,10,1,4,3
c811,4,3,10,5,2,9
c784,9,4,4,2,2,3
c778,2,9,9,3,1,3
c774,5,6,3,1,5,3
c773,7,4,5,2,5,2
c706,10,4,4,2,2,1
c646,5,5,5,1,4,5
c598,9,6,1,3,2,1
c585,5,5,5,4,1,5
c558,10,4,3,1,2,4
c539,4,6,4,1,5,4
c534,10,1,8,3,4,3
c515,2,9,5,4,3,1
c515,2,10,5,2,3,2
c515,7,5,2,1,4,5
c505,7,9,1,1,1,1
c503,6,8,3,2,1,1
c498,8,4,5,2,2,3
c477,6,8,2,2,1,2
c437,9,2,7,4,1,4
c406,4,3,10,3,4,9
c367,2,5,10,2,5,7
c358,4,4,8,5,1,7
c346,4,4,8,1,4,8
c344,5,8,2,1,2,3
c336,5,6,4,2,2,4
c325,2,8,2,1,4,5
c325,7,5,2,5,2,3
c277,5,2,10,4,6,10
c273,5,6,3,2,2,5
c271,6,7,1,1,3,3
c261,9,1,9,3,5,2
c244,9,1,9,5,4,1
c243,8,1,10,2,4,6
c241,9,4,3,2,4,3
c233,2,9,5,1,4,3
c213,1,6,10,1,5,8
c213,6,8,2,1,2,2
c213,10,3,5,2,1,3
c198,2,4,10,1,7,10
c191,9,1,9,6,3,1
c189,8,1,10,6,1,5
c188,2,9,5,4,2,2
c158,4,4,8,4,2,7
c158,6,4,4,1,5,7
c157,6,9,1,2,1,1
c129,8,1,10,4,5,3
c128,4,6,4,1,4,5
c123,4,9,2,1,2,3
c110,10,2,5,3,2,10
c104,9,1,9,4,4,2
c94,2,4,10,1,8,9
c83,7,8,1,1,2,1
c81,10,2,6,1,4,5
c80,7,1,10,6,7,10
c78,8,1,10,4,2,6
c74,9,1,9,1,6,3
c73,4,7,2,4,1,4
c72,5,2,10,1,9,10
c72,5,2,10,3,7,10
c72,9,2,7,3,2,4
c68,7,1,10,10,5,8
c68,7,1,10,10,6,7
c55,5,2,10,6,4,10
c48,5,2,10,2,8,10
c48,10,2,5,1,6,8
c41,8,1,10,7,1,4
c40,9,1,9,4,5,1
c38,7,1,10,5,8,10
c23,10,2,5,2,5,8
c22,9,2,7,1,4,4
c18,8,1,10,3,3,6
