name,h,f,l,p,r,s
c221,9,4,4,1,4,2
c1,9,4,4,2,2,3
c1,9,4,4,2,3,2
c1,9,4,4,3,1,3
c30844,9,4,4,3,3,1
c1,9,4,4,4,1,2
c366,9,4,4,4,2,1
c348869,9,5,2,1,3,3
c1,9,5,2,1,4,2
c1,9,5,2,2,2,3
c112,9,5,2,2,3,2
c1,9,5,2,3,1,3
c128528,9,5,2,3,3,1
c27696,9,5,2,4,1,2
c11,9,5,2,4,2,1
c99493,10,4,3,1,3,3
c20542,10,4,3,1,4,2
c1,10,4,3,2,2,3
c94291,10,4,3,2,3,2
c1,10,4,3,3,1,3
c102992,10,4,3,3,3,1
c5506,10,4,3,4,1,2
c101,10,4,3,4,2,1
c58735,11,3,4,1,3,3
c1,11,3,4,1,4,2
c1,11,3,4,2,2,3
c79,11,3,4,2,3,2
c98471,11,3,4,3,1,3
c40945,11,3,4,3,3,1
c4107,11,3,4,4,1,2
c175020,11,3,4,4,2,1
c1,1,11,1,1,3,4
c71402,1,11,1,1,4,3
c1,1,11,1,1,5,2
c1,1,11,1,2,2,4
c1,1,11,1,2,3,3
c1,1,11,1,2,4,2
c1,1,11,1,3,2,3
c1,1,11,1,3,4,1
c10616,1,11,1,4,1,3
c1,1,11,1,4,2,2
c35830,1,11,1,4,3,1
c1,1,11,1,5,1,2
c1,1,11,1,5,2,1
c1,1,11,1,6,1,1
c1,3,5,15,1,3,4
c1,3,5,15,1,4,3
c1,3,5,15,1,5,2
c1,3,5,15,2,2,4
c1,3,5,15,2,3,3
c1,3,5,15,2,4,2
c1,3,5,15,3,2,3
c1,3,5,15,3,4,1
c1,3,5,15,4,1,3
c1,3,5,15,4,2,2
c5,3,5,15,4,3,1
c1,3,5,15,5,1,2
c1,3,5,15,5,2,1
c1,3,5,15,6,1,1
c1,3,6,11,1,3,4
c146570,3,6,11,1,4,3
c1,3,6,11,1,5,2
c2835,3,6,11,2,2,4
c1,3,6,11,2,3,3
c50945,3,6,11,2,4,2
c1,3,6,11,3,2,3
c1,3,6,11,3,4,1
c98109,3,6,11,4,1,3
c1,3,6,11,4,2,2
c68808,3,6,11,4,3,1
c744,3,6,11,5,1,2
c70520,3,6,11,5,2,1
c1,3,6,11,6,1,1
c1,4,5,10,1,3,4
c32761,4,5,10,1,4,3
c4289,4,5,10,1,5,2
c2620,4,5,10,2,2,4
c1,4,5,10,2,3,3
c14247,4,5,10,2,4,2
c1,4,5,10,3,2,3
c347,4,5,10,3,4,1
c37687,4,5,10,4,1,3
c1,4,5,10,4,2,2
c172,4,5,10,4,3,1
c17541,4,5,10,5,1,2
c1902,4,5,10,5,2,1
c1,4,5,10,6,1,1
c114106,4,8,1,1,3,4
c423504,4,8,1,1,4,3
c1,4,8,1,1,5,2
c50430,4,8,1,2,2,4
c1901,4,8,1,2,3,3
c134395,4,8,1,2,4,2
c1,4,8,1,3,2,3
c78836,4,8,1,3,4,1
c359983,4,8,1,4,1,3
c1,4,8,1,4,2,2
c182451,4,8,1,4,3,1
c115660,4,8,1,5,1,2
c145023,4,8,1,5,2,1
c1,4,8,1,6,1,1
c1,7,2,10,1,3,4
c1,7,2,10,1,4,3
c19281,7,2,10,1,5,2
c1,7,2,10,2,2,4
c1,7,2,10,2,3,3
c1,7,2,10,2,4,2
c1,7,2,10,3,2,3
c1,7,2,10,3,4,1
c1,7,2,10,4,1,3
c1,7,2,10,4,2,2
c1580,7,2,10,4,3,1
c1,7,2,10,5,1,2
c1,7,2,10,5,2,1
c1,7,2,10,6,1,1
c65525,12,2,5,1,3,4
c270,12,2,5,1,4,3
c27131,12,2,5,1,5,2
c68650,12,2,5,2,2,4
c3723,12,2,5,2,3,3
c4224,12,2,5,2,4,2
c57198,12,2,5,3,2,3
c129417,12,2,5,3,4,1
c25074,12,2,5,4,1,3
c15827,12,2,5,4,2,2
c28635,12,2,5,4,3,1
c182,12,2,5,5,1,2
c18597,12,2,5,5,2,1
c147044,12,2,5,6,1,1
c1,2,7,11,1,3,5
c188574,2,7,11,1,4,4
c103245,2,7,11,1,5,3
c84297,2,7,11,2,2,5
c1,2,7,11,2,3,4
c1,2,7,11,2,4,3
c118067,2,7,11,2,5,2
c92130,2,7,11,3,2,4
c1,2,7,11,3,3,3
c1,2,7,11,3,4,2
c1,2,7,11,3,5,1
c55587,2,7,11,4,1,4
c1,2,7,11,4,2,3
c1,2,7,11,4,3,2
c89213,2,7,11,4,4,1
c234355,2,7,11,5,1,3
c1,2,7,11,5,2,2
c96571,2,7,11,5,3,1
c77010,2,7,11,6,1,2
c103942,2,7,11,6,2,1
c1,2,7,11,7,1,1
c1,3,5,13,1,3,5
c11487,3,5,13,1,4,4
c1,3,5,13,1,5,3
c108,3,5,13,2,2,5
c1,3,5,13,2,3,4
c1,3,5,13,2,4,3
c1,3,5,13,2,5,2
c5104,3,5,13,3,2,4
c1,3,5,13,3,3,3
c1,3,5,13,3,4,2
c1,3,5,13,3,5,1
c1,3,5,13,4,1,4
c1,3,5,13,4,2,3
c1,3,5,13,4,3,2
c1,3,5,13,4,4,1
c75834,3,5,13,5,1,3
c1,3,5,13,5,2,2
c6361,3,5,13,5,3,1
c1,3,5,13,6,1,2
c1,3,5,13,6,2,1
c1,3,5,13,7,1,1
c1,3,8,1,1,3,5
c66105,3,8,1,1,4,4
c88898,3,8,1,1,5,3
c1,3,8,1,2,2,5
c79459,3,8,1,2,3,4
c1,3,8,1,2,4,3
c138015,3,8,1,2,5,2
c12353,3,8,1,3,2,4
c1,3,8,1,3,3,3
c8094,3,8,1,3,4,2
c1,3,8,1,3,5,1
c4970,3,8,1,4,1,4
c1,3,8,1,4,2,3
c1,3,8,1,4,3,2
c132173,3,8,1,4,4,1
c101535,3,8,1,5,1,3
c1,3,8,1,5,2,2
c88760,3,8,1,5,3,1
c59357,3,8,1,6,1,2
c12502,3,8,1,6,2,1
c1,3,8,1,7,1,1
c1,4,4,12,1,3,5
c1,4,4,12,1,4,4
c130,4,4,12,1,5,3
c1,4,4,12,2,2,5
c37,4,4,12,2,3,4
c1,4,4,12,2,4,3
c1,4,4,12,2,5,2
c1,4,4,12,3,2,4
c1,4,4,12,3,3,3
c1,4,4,12,3,4,2
c1,4,4,12,3,5,1
c1,4,4,12,4,1,4
c1,4,4,12,4,2,3
c1,4,4,12,4,3,2
c56,4,4,12,4,4,1
c1,4,4,12,5,1,3
c231,4,4,12,5,2,2
c1,4,4,12,5,3,1
c1,4,4,12,6,1,2
c1,4,4,12,6,2,1
c1,4,4,12,7,1,1
c1,6,3,9,1,3,5
c1786,6,3,9,1,4,4
c1,6,3,9,1,5,3
c1,6,3,9,2,2,5
c1,6,3,9,2,3,4
c24009,6,3,9,2,4,3
c4465,6,3,9,2,5,2
c1750,6,3,9,3,2,4
c70,6,3,9,3,3,3
c5295,6,3,9,3,4,2
c1,6,3,9,3,5,1
c1,6,3,9,4,1,4
c1,6,3,9,4,2,3
c1,6,3,9,4,3,2
c50,6,3,9,4,4,1
c253,6,3,9,5,1,3
c1,6,3,9,5,2,2
c881,6,3,9,5,3,1
c32,6,3,9,6,1,2
c1,6,3,9,6,2,1
c1,6,3,9,7,1,1
c24708,7,1,12,1,3,5
c587,7,1,12,1,4,4
c12972,7,1,12,1,5,3
c78511,7,1,12,2,2,5
c33734,7,1,12,2,3,4
c26902,7,1,12,2,4,3
c75505,7,1,12,2,5,2
c70721,7,1,12,3,2,4
c1,7,1,12,3,3,3
c55547,7,1,12,3,4,2
c38004,7,1,12,3,5,1
c90546,7,1,12,4,1,4
c1,7,1,12,4,2,3
c89669,7,1,12,4,3,2
c106,7,1,12,4,4,1
c1,7,1,12,5,1,3
c42036,7,1,12,5,2,2
c60463,7,1,12,5,3,1
c105839,7,1,12,6,1,2
c152979,7,1,12,6,2,1
c11918,7,1,12,7,1,1
c1,7,4,5,1,3,5
c37581,7,4,5,1,4,4
c13183,7,4,5,1,5,3
c1,7,4,5,2,2,5
c4468,7,4,5,2,3,4
c76668,7,4,5,2,4,3
c1,7,4,5,2,5,2
c1073,7,4,5,3,2,4
c1,7,4,5,3,3,3
c394,7,4,5,3,4,2
c1,7,4,5,3,5,1
c1,7,4,5,4,1,4
c1,7,4,5,4,2,3
c1,7,4,5,4,3,2
c59,7,4,5,4,4,1
c8209,7,4,5,5,1,3
c1,7,4,5,5,2,2
c1319,7,4,5,5,3,1
c1,7,4,5,6,1,2
c1,7,4,5,6,2,1
c1,7,4,5,7,1,1
c1,8,3,6,1,3,5
c1,8,3,6,1,4,4
c589,8,3,6,1,5,3
c1,8,3,6,2,2,5
c1,8,3,6,2,3,4
c1,8,3,6,2,4,3
c1,8,3,6,2,5,2
c1,8,3,6,3,2,4
c1,8,3,6,3,3,3
c1,8,3,6,3,4,2
c1,8,3,6,3,5,1
c544,8,3,6,4,1,4
c1,8,3,6,4,2,3
c1,8,3,6,4,3,2
c1,8,3,6,4,4,1
c1,8,3,6,5,1,3
c1,8,3,6,5,2,2
c68356,8,3,6,5,3,1
c1,8,3,6,6,1,2
c1,8,3,6,6,2,1
c1,8,3,6,7,1,1
c1,8,4,4,1,3,5
c126982,8,4,4,1,4,4
c66795,8,4,4,1,5,3
c1,8,4,4,2,2,5
c4524,8,4,4,2,3,4
c220,8,4,4,2,4,3
c77806,8,4,4,2,5,2
c287,8,4,4,3,2,4
c1,8,4,4,3,3,3
c1,8,4,4,3,4,2
c1,8,4,4,3,5,1
c140,8,4,4,4,1,4
c170,8,4,4,4,2,3
c1,8,4,4,4,3,2
c11937,8,4,4,4,4,1
c98487,8,4,4,5,1,3
c1,8,4,4,5,2,2
c3586,8,4,4,5,3,1
c1,8,4,4,6,1,2
c1,8,4,4,6,2,1
c1,8,4,4,7,1,1
c1,9,3,5,1,3,5
c40427,9,3,5,1,4,4
c95005,9,3,5,1,5,3
c1,9,3,5,2,2,5
c1419,9,3,5,2,3,4
c66227,9,3,5,2,4,3
c1,9,3,5,2,5,2
c229,9,3,5,3,2,4
c1,9,3,5,3,3,3
c4142,9,3,5,3,4,2
c1,9,3,5,3,5,1
c51301,9,3,5,4,1,4
c34741,9,3,5,4,2,3
c1,9,3,5,4,3,2
c26188,9,3,5,4,4,1
c170857,9,3,5,5,1,3
c1,9,3,5,5,2,2
c79274,9,3,5,5,3,1
c1,9,3,5,6,1,2
c1,9,3,5,6,2,1
c1,9,3,5,7,1,1
c26870,13,1,6,1,3,5
c41599,13,1,6,1,4,4
c120705,13,1,6,1,5,3
c28652,13,1,6,2,2,5
c82916,13,1,6,2,3,4
c43352,13,1,6,2,4,3
c1119,13,1,6,2,5,2
c101804,13,1,6,3,2,4
c1,13,1,6,3,3,3
c99674,13,1,6,3,4,2
c1,13,1,6,3,5,1
c164561,13,1,6,4,1,4
c54100,13,1,6,4,2,3
c17866,13,1,6,4,3,2
c31490,13,1,6,4,4,1
c48139,13,1,6,5,1,3
c17073,13,1,6,5,2,2
c129839,13,1,6,5,3,1
c28714,13,1,6,6,1,2
c108634,13,1,6,6,2,1
c1,13,1,6,7,1,1
c15389,1,9,1,1,4,5
c137515,1,9,1,1,5,4
c47683,1,9,1,1,6,3
c58159,1,9,1,2,3,5
c35747,1,9,1,2,4,4
c14441,1,9,1,2,5,3
c15667,1,9,1,2,6,2
c25774,1,9,1,3,2,5
c40580,1,9,1,3,3,4
c1,1,9,1,3,4,3
c76863,1,9,1,3,5,2
c1,1,9,1,3,6,1
c1,1,9,1,4,1,5
c13250,1,9,1,4,2,4
c1,1,9,1,4,3,3
c78906,1,9,1,4,4,2
c604,1,9,1,4,5,1
c129984,1,9,1,5,1,4
c46471,1,9,1,5,2,3
c39380,1,9,1,5,3,2
c44407,1,9,1,5,4,1
c93835,1,9,1,6,1,3
c14584,1,9,1,6,2,2
c102725,1,9,1,6,3,1
c1,1,9,1,7,1,2
c1,1,9,1,7,2,1
c1,2,6,14,1,4,5
c1,2,6,14,1,5,4
c1,2,6,14,1,6,3
c1,2,6,14,2,3,5
c1,2,6,14,2,4,4
c1,2,6,14,2,5,3
c1,2,6,14,2,6,2
c1,2,6,14,3,2,5
c1,2,6,14,3,3,4
c1,2,6,14,3,4,3
c1,2,6,14,3,5,2
c1,2,6,14,3,6,1
c1,2,6,14,4,1,5
c1,2,6,14,4,2,4
c1,2,6,14,4,3,3
c1,2,6,14,4,4,2
c1,2,6,14,4,5,1
c1,2,6,14,5,1,4
c1,2,6,14,5,2,3
c1,2,6,14,5,3,2
c1,2,6,14,5,4,1
c1,2,6,14,6,1,3
c1,2,6,14,6,2,2
c1,2,6,14,6,3,1
c1,2,6,14,7,1,2
c1,2,6,14,7,2,1
c1,2,8,2,1,4,5
c1,2,8,2,1,5,4
c1,2,8,2,1,6,3
c1,2,8,2,2,3,5
c42,2,8,2,2,4,4
c1,2,8,2,2,5,3
c1,2,8,2,2,6,2
c13213,2,8,2,3,2,5
c1,2,8,2,3,3,4
c1,2,8,2,3,4,3
c1,2,8,2,3,5,2
c1,2,8,2,3,6,1
c1,2,8,2,4,1,5
c1,2,8,2,4,2,4
c1,2,8,2,4,3,3
c1,2,8,2,4,4,2
c1,2,8,2,4,5,1
c27613,2,8,2,5,1,4
c1,2,8,2,5,2,3
c1,2,8,2,5,3,2
c1,2,8,2,5,4,1
c1048,2,8,2,6,1,3
c1,2,8,2,6,2,2
c1,2,8,2,6,3,1
c1,2,8,2,7,1,2
c1,2,8,2,7,2,1
c1,4,4,11,1,4,5
c74803,4,4,11,1,5,4
c1,4,4,11,1,6,3
c1,4,4,11,2,3,5
c1,4,4,11,2,4,4
c1,4,4,11,2,5,3
c1,4,4,11,2,6,2
c1,4,4,11,3,2,5
c1,4,4,11,3,3,4
c1,4,4,11,3,4,3
c82,4,4,11,3,5,2
c1,4,4,11,3,6,1
c1,4,4,11,4,1,5
c1,4,4,11,4,2,4
c1,4,4,11,4,3,3
c9,4,4,11,4,4,2
c1,4,4,11,4,5,1
c125857,4,4,11,5,1,4
c1,4,4,11,5,2,3
c1,4,4,11,5,3,2
c200632,4,4,11,5,4,1
c10654,4,4,11,6,1,3
c1,4,4,11,6,2,2
c1,4,4,11,6,3,1
c1,4,4,11,7,1,2
c1,4,4,11,7,2,1
c1,5,1,17,1,4,5
c1,5,1,17,1,5,4
c6738,5,1,17,1,6,3
c2379,5,1,17,2,3,5
c58,5,1,17,2,4,4
c415,5,1,17,2,5,3
c487,5,1,17,2,6,2
c66444,5,1,17,3,2,5
c1991,5,1,17,3,3,4
c1,5,1,17,3,4,3
c52216,5,1,17,3,5,2
c29909,5,1,17,3,6,1
c4344,5,1,17,4,1,5
c271,5,1,17,4,2,4
c1,5,1,17,4,3,3
c54,5,1,17,4,4,2
c209,5,1,17,4,5,1
c5582,5,1,17,5,1,4
c587,5,1,17,5,2,3
c119,5,1,17,5,3,2
c19719,5,1,17,5,4,1
c19034,5,1,17,6,1,3
c27421,5,1,17,6,2,2
c29098,5,1,17,6,3,1
c30466,5,1,17,7,1,2
c13236,5,1,17,7,2,1
c1,5,2,14,1,4,5
c1,5,2,14,1,5,4
c42556,5,2,14,1,6,3
c33054,5,2,14,2,3,5
c1,5,2,14,2,4,4
c1,5,2,14,2,5,3
c11853,5,2,14,2,6,2
c54785,5,2,14,3,2,5
c1,5,2,14,3,3,4
c1,5,2,14,3,4,3
c36940,5,2,14,3,5,2
c1,5,2,14,3,6,1
c1,5,2,14,4,1,5
c1,5,2,14,4,2,4
c1,5,2,14,4,3,3
c2233,5,2,14,4,4,2
c1,5,2,14,4,5,1
c1298,5,2,14,5,1,4
c1,5,2,14,5,2,3
c1,5,2,14,5,3,2
c1,5,2,14,5,4,1
c1,5,2,14,6,1,3
c10633,5,2,14,6,2,2
c74498,5,2,14,6,3,1
c14529,5,2,14,7,1,2
c15993,5,2,14,7,2,1
c1,5,3,11,1,4,5
c1,5,3,11,1,5,4
c1,5,3,11,1,6,3
c1,5,3,11,2,3,5
c1,5,3,11,2,4,4
c220,5,3,11,2,5,3
c1,5,3,11,2,6,2
c1,5,3,11,3,2,5
c1,5,3,11,3,3,4
c1,5,3,11,3,4,3
c129,5,3,11,3,5,2
c1,5,3,11,3,6,1
c1,5,3,11,4,1,5
c1,5,3,11,4,2,4
c1,5,3,11,4,3,3
c1,5,3,11,4,4,2
c1,5,3,11,4,5,1
c1,5,3,11,5,1,4
c1,5,3,11,5,2,3
c1,5,3,11,5,3,2
c1,5,3,11,5,4,1
c23226,5,3,11,6,1,3
c1,5,3,11,6,2,2
c22860,5,3,11,6,3,1
c1,5,3,11,7,1,2
c1,5,3,11,7,2,1
c202,5,4,8,1,4,5
c22928,5,4,8,1,5,4
c1,5,4,8,1,6,3
c1,5,4,8,2,3,5
c1,5,4,8,2,4,4
c1,5,4,8,2,5,3
c1,5,4,8,2,6,2
c21724,5,4,8,3,2,5
c1,5,4,8,3,3,4
c1,5,4,8,3,4,3
c1,5,4,8,3,5,2
c1,5,4,8,3,6,1
c1,5,4,8,4,1,5
c1,5,4,8,4,2,4
c1,5,4,8,4,3,3
c58622,5,4,8,4,4,2
c1,5,4,8,4,5,1
c53186,5,4,8,5,1,4
c31191,5,4,8,5,2,3
c13,5,4,8,5,3,2
c9174,5,4,8,5,4,1
c11786,5,4,8,6,1,3
c1,5,4,8,6,2,2
c1,5,4,8,6,3,1
c1,5,4,8,7,1,2
c1,5,4,8,7,2,1
c508,6,1,14,1,4,5
c33,6,1,14,1,5,4
c2181,6,1,14,1,6,3
c1,6,1,14,2,3,5
c80303,6,1,14,2,4,4
c10447,6,1,14,2,5,3
c1,6,1,14,2,6,2
c297,6,1,14,3,2,5
c1031,6,1,14,3,3,4
c1609,6,1,14,3,4,3
c57334,6,1,14,3,5,2
c1,6,1,14,3,6,1
c1,6,1,14,4,1,5
c10148,6,1,14,4,2,4
c406,6,1,14,4,3,3
c17001,6,1,14,4,4,2
c1156,6,1,14,4,5,1
c51097,6,1,14,5,1,4
c888,6,1,14,5,2,3
c1,6,1,14,5,3,2
c2712,6,1,14,5,4,1
c44820,6,1,14,6,1,3
c2603,6,1,14,6,2,2
c478,6,1,14,6,3,1
c12722,6,1,14,7,1,2
c1478,6,1,14,7,2,1
c1,6,4,6,1,4,5
c83511,6,4,6,1,5,4
c1,6,4,6,1,6,3
c1,6,4,6,2,3,5
c1,6,4,6,2,4,4
c1,6,4,6,2,5,3
c1,6,4,6,2,6,2
c1,6,4,6,3,2,5
c1,6,4,6,3,3,4
c1,6,4,6,3,4,3
c1,6,4,6,3,5,2
c1,6,4,6,3,6,1
c1,6,4,6,4,1,5
c1,6,4,6,4,2,4
c1,6,4,6,4,3,3
c1,6,4,6,4,4,2
c1,6,4,6,4,5,1
c1,6,4,6,5,1,4
c1,6,4,6,5,2,3
c1,6,4,6,5,3,2
c18560,6,4,6,5,4,1
c2998,6,4,6,6,1,3
c1,6,4,6,6,2,2
c1,6,4,6,6,3,1
c1,6,4,6,7,1,2
c1,6,4,6,7,2,1
c454,7,3,7,1,4,5
c8008,7,3,7,1,5,4
