# n_high=125000  source=merged_natural.tsv  seed=42
# selection by 7-feature residual: rows 1-50 worst-first, rows 51-100 best-last
key_s1	key_s2	n_sims	n_wins	m01	m02	m10	m11	m12	m20	m21	n_to_move	n_opp	imm_win_to_move	imm_win_opp	predicted_win_7	predicted_win_11	empirical_win
ABFIOP	DHN	125000	94282	1	2	6	5	0	6	1	6	3	4	2	0.946448	0.843608	0.754256
AHL	BGIKMNP	125000	27480	6	8	0	5	2	1	1	3	7	1	5	0.026144	0.129061	0.219840
AC	FHJKM	125000	25307	8	8	2	2	1	1	0	2	5	1	6	0.030168	0.086475	0.202456
AHKL	BDFGIO	125000	63123	6	5	0	5	3	3	2	4	6	3	3	0.346498	0.439988	0.504984
ABFGNP	CDMO	125000	110214	3	0	3	5	2	7	2	6	4	5	0	1.042478	0.959629	0.881712
ABGHIJ	DOP	125000	111710	2	1	8	5	0	7	1	6	3	6	1	1.095852	1.077557	0.893680
BCEO	AFGMNP	125000	55646	3	5	0	7	3	2	1	4	6	2	3	0.322223	0.405427	0.445168
ABFGIO	HJMNP	125000	92316	2	2	2	5	4	7	2	6	5	4	2	0.912645	0.741132	0.738528
ABDFIP	HJLM	125000	82946	3	2	2	6	2	6	1	6	4	3	2	0.830389	0.656828	0.663568
ABGJKN	CHMO	125000	108530	4	0	3	4	1	7	5	6	4	4	0	1.040331	0.883079	0.868240
BCI	AGKNP	125000	54490	8	5	2	3	1	2	1	3	5	2	3	0.283255	0.369261	0.435920
ABFGNP	HIO	125000	111048	4	0	4	6	0	7	2	6	3	5	0	1.053141	0.972982	0.888384
ABFGINO	EHKL	125000	87988	0	3	3	5	1	6	6	7	4	4	3	0.861883	0.753172	0.703904
ABMO	DEFIKLN	125000	30009	4	8	1	6	3	1	1	4	7	1	5	0.072457	0.177949	0.240072
ABEGHJ	CDM	125000	112067	2	0	7	3	1	6	3	6	3	4	0	1.067030	0.975971	0.896536
ACJKP	DMO	125000	105645	2	1	6	6	0	6	0	5	3	5	1	0.984978	0.956226	0.845160
ABFMN	CGHIJLO	125000	35080	0	8	1	6	4	1	4	5	7	1	4	0.145609	0.302093	0.280640
ABDKP	GIMO	125000	66170	4	3	5	6	1	4	0	5	4	2	3	0.664066	0.535468	0.529360
AC	EGILNO	125000	25263	9	7	2	2	1	1	0	2	6	1	6	0.072224	0.080219	0.202104
BFGK	DMN	125000	115017	3	1	4	5	0	8	0	4	3	8	1	1.077576	1.133569	0.920136
ACHI	FGMOP	125000	54291	5	6	4	4	1	2	1	4	5	2	4	0.310479	0.390557	0.434328
ABDEGKMP	FHJLO	125000	82289	1	1	0	4	6	5	7	8	5	2	1	0.814787	0.645958	0.658312
ABJKMO	CEHL	125000	92784	3	2	4	6	0	6	3	6	4	4	2	0.882536	0.777212	0.742272
BCFKL	EGM	125000	99130	4	2	5	2	1	7	2	5	3	5	2	0.948176	0.851629	0.793040
ACNP	DFGIM	125000	56306	5	5	2	7	1	2	0	4	5	2	3	0.330418	0.417734	0.450448
ACFGL	EHNP	125000	87256	3	2	6	4	1	5	2	5	4	3	2	0.837624	0.719462	0.698048
BCEO	AGIKLMP	125000	53151	4	6	1	4	5	2	1	4	7	2	3	0.253459	0.380015	0.425208
BCEFHNO	AILMP	125000	108983	3	0	2	4	3	7	4	7	5	4	0	1.026142	0.872588	0.871864
AHKL	BDFIN	125000	65378	5	4	2	6	0	2	3	4	5	2	2	0.404963	0.496057	0.523024
ADJKN	BE	125000	112752	3	0	7	5	0	6	0	5	2	5	0	1.044989	1.026996	0.902016
ABHL	GJKNP	125000	41299	3	8	2	3	2	2	2	4	5	2	6	0.189391	0.257838	0.330392
ACGJNO	DEF	125000	109704	3	0	4	6	1	6	3	6	3	4	0	0.995849	0.907146	0.877632
ABL	EFKMO	125000	45397	8	6	3	3	1	2	0	3	5	2	5	0.238309	0.266760	0.363176
BGJK	EMN	125000	104058	2	2	5	4	0	7	1	4	3	6	2	0.984298	0.951908	0.832464
ABHJL	DEP	125000	105544	4	0	6	4	0	4	2	5	3	4	0	0.872208	0.910302	0.844352
BFL	DGHN	125000	60278	5	2	5	4	2	1	1	3	4	1	2	0.487793	0.480032	0.482224
ABDI	CEFLMP	125000	31045	8	3	2	4	2	0	3	4	6	0	3	0.257796	0.239474	0.248360
AGHLO	DFIP	125000	74735	5	2	7	5	0	2	3	5	4	2	2	0.611799	0.617774	0.597880
BHI	EMN	125000	66894	5	1	9	2	1	0	0	3	3	0	1	0.548191	0.541154	0.535152
F	GN	125000	58691	8	0	4	3	0	0	0	1	2	0	0	0.472958	0.471751	0.469528
BGO	DH	125000	90314	2	1	8	3	0	2	0	3	2	2	1	0.732184	0.740496	0.722512
BF	KLP	125000	60354	6	2	6	2	1	1	0	2	3	1	2	0.491180	0.483334	0.482832
AB	GK	125000	50882	8	2	3	2	0	1	0	2	2	1	2	0.409379	0.411009	0.407056
AGH	EP	125000	90916	4	0	9	3	0	1	0	3	2	1	0	0.702176	0.710380	0.727328
AGO	CEK	125000	66687	7	0	6	5	1	0	1	3	3	0	0	0.522172	0.523599	0.533496
ABHL	CDJP	125000	66444	8	1	4	2	1	1	3	4	4	1	1	0.490168	0.498120	0.531552
BGN	DMO	125000	88097	3	0	7	5	1	1	0	3	3	1	0	0.678151	0.682405	0.704776
ACP	BDN	125000	65566	7	0	6	1	1	0	1	3	3	0	0	0.523856	0.528259	0.524528
ABFL	EGHO	125000	75383	7	2	5	3	2	3	1	4	4	3	2	0.598141	0.612997	0.603064
BFG	CH	125000	102703	3	0	6	4	0	3	1	3	2	3	0	0.814139	0.837134	0.821624
ABJ	CEHI	125000	58344	6	2	6	3	1	1	1	3	4	1	2	0.493864	0.486343	0.466752
ABO	LNP	125000	71672	5	1	6	2	1	1	0	3	3	1	1	0.567871	0.571368	0.573376
BEGO	ACDHI	125000	86237	4	2	4	4	3	4	0	4	5	4	2	0.695880	0.712256	0.689896
AGN	CJK	125000	48509	5	2	6	7	1	0	0	3	3	0	2	0.434112	0.420893	0.388072
ABJO	CDHN	125000	75413	4	2	7	4	1	2	1	4	4	2	2	0.617892	0.619599	0.603304
ABN	FIK	125000	48298	6	3	4	4	1	1	0	3	3	1	3	0.395897	0.389078	0.386384
B	DO	125000	61141	6	0	3	1	0	0	0	1	2	0	0	0.490901	0.490499	0.489128
BH	FGI	125000	39235	10	2	5	2	1	0	0	2	3	0	2	0.332096	0.322365	0.313880
AGJL	EFHMO	125000	77258	4	2	3	7	3	3	1	4	5	3	2	0.607908	0.615430	0.618064
ABD	EHJM	125000	46080	8	3	2	4	0	2	0	3	4	1	3	0.403910	0.330860	0.368640
AD	BIJP	125000	32968	10	2	2	4	0	0	0	2	4	0	2	0.284088	0.272090	0.263744
BO	ADGK	125000	33556	9	3	4	3	1	0	0	2	4	0	3	0.272085	0.251595	0.268448
ABINP	CGJL	125000	59464	5	4	5	6	1	2	1	5	4	2	3	0.445919	0.494682	0.475712
ACJMP	HIN	125000	85727	2	1	8	8	0	2	0	5	3	2	1	0.730080	0.742870	0.685816
ABFIN	CDMP	125000	100998	5	0	5	4	1	4	2	5	4	3	0	0.831923	0.795210	0.807984
BCF	HLO	125000	88061	6	2	5	2	0	4	0	3	3	4	2	0.695923	0.715919	0.704488
BCEK	AFLP	125000	84166	4	1	5	6	2	2	1	4	4	2	1	0.635923	0.644909	0.673328
AB	ILP	125000	61829	7	1	3	2	0	1	0	2	3	1	1	0.486070	0.488674	0.494632
ABK	EHO	125000	77718	7	1	7	3	0	2	0	3	3	2	1	0.628064	0.638153	0.621744
BCEN	DIKLO	125000	49705	4	4	3	9	0	1	1	4	5	1	3	0.360060	0.390567	0.397640
BEGK	ACDJL	125000	79784	3	1	4	6	4	2	2	4	5	2	1	0.627944	0.632554	0.638272
AFH	GLNP	125000	56953	6	2	4	5	1	1	1	3	4	1	2	0.457956	0.451372	0.455624
BG	CKN	125000	63124	8	1	5	3	1	1	0	2	3	1	1	0.497965	0.498586	0.504992
ADF	BGM	125000	60320	4	2	5	6	0	1	0	3	3	1	2	0.512032	0.506475	0.482560
BF	ACO	125000	76091	6	0	5	3	1	1	0	2	3	1	0	0.591973	0.596799	0.608728
ADJO	CHKL	125000	63217	4	3	6	5	2	2	0	4	4	2	3	0.532025	0.529281	0.505736
AF	CNO	125000	57468	5	2	5	3	0	1	0	2	3	1	2	0.495977	0.487412	0.459744
AFH	I	125000	99811	2	0	8	2	0	2	0	3	1	2	0	0.791979	0.811315	0.798488
BCJ	AEFO	125000	56450	6	3	6	2	1	1	2	3	4	1	3	0.438017	0.424196	0.451600
AHK	DEFIN	125000	33819	6	4	5	4	1	0	2	3	5	0	4	0.287987	0.256718	0.270552
ABO	CDGM	125000	46215	5	3	5	3	1	0	1	3	4	0	2	0.361993	0.392926	0.369720
BG	ACIL	125000	48824	6	2	6	2	1	0	1	2	4	0	2	0.422004	0.402145	0.390592
BEFL	GIO	125000	76234	6	1	8	5	0	1	2	4	3	1	1	0.596003	0.599853	0.609872
BFKL	AIJM	125000	75933	3	3	8	3	1	2	3	4	4	2	2	0.600001	0.643487	0.607464
